verbs,celebrities,adjectives,nouns,body parts,places,adverbs,animals
accept,Marilyn Monroe,abandoned,aardvarks ,abdomen,Afghanistan,abnormally,Aardvark
add,Abraham Lincoln,able,airs ,Adam's apple,Albania,absentmindedly ,African Elephant 
admire,Mother Teresa,absolute,airplanes ,ankle,Algeria,accidentally ,African Tree Pangolin 
admit,John F. Kennedy,adorable,airports ,anus    ,Andorra,acidly,Albatross 
advise,Martin Luther King,adventurous,alarms ,appendix,Angola,actually ,Alligator 
afford,Nelson Mandela,academic,alligators ,arm,Antigua & Deps,adventurously,Alpaca 
agree,Winston Churchill,acceptable,alphabets ,armpit,Argentina,afterwards ,Anaconda 
alert,Bill Gates,acclaimed,ambulances ,artery,Armenia,almost ,Angel Fish 
allow,Muhammad Ali,accomplished,animals ,back,Australia,always ,Ant 
amuse,Mahatma Gandhi,accurate,ankles ,beard,Austria,angrily ,Anteater 
analyse,Margaret Thatcher,aching,armies ,belly,Azerbaijan,annually ,Antelope 
announce,Charles de Gaulle,acidic,answers ,belly-button,Bahamas,anxiously ,Archer Fish 
annoy,Christopher Columbus,acrobatic,ants ,biceps,Bahrain,arrogantly ,Armadillo 
answer,George Orwell,active,antelopes ,bladder,Bangladesh,awkwardly,Asian Elephant 
apologise,Charles Darwin,actual,apples ,blood,Barbados,badly ,Atlantic Puffin 
appear,Elvis Presley,adept,arms ,bone,Belarus,bashfully ,Aye-Aye 
applaud,Albert Einstein,admirable,armchairs ,brains,Belgium,beautifully ,Arab horse 
appreciate,Paul McCartney,admired,arrows ,breast,Belize,bitterly,Baboon 
approve,Plato,adolescent,asparaguses ,bosom,Benin,bleakly,Badger 
argue,Queen Elizabeth II,adorable,babies ,butt-cheek,Bhutan,blindly ,Bald Eagle 
arrange,Queen Victoria,adored,backs ,calf,Bolivia,blissfully,Bandicoot 
arrest,John M Keynes,advanced,backbones ,capillary,Bosnia Herzegovina,boastfully ,Bangle Tiger 
arrive,Mikhail Gorbachev,afraid,bacons ,cell,Botswana,boldly ,Barnacle 
ask,Jawaharlal Nehru,affectionate,badges ,cervix,Brazil,bravely ,Barracuda 
attach,Leonardo da Vinci,aged,badgers ,cheek,Brunei,briefly ,Basilisk 
attack,Louis Pasteur,aggravating,bags ,chest,Bulgaria,brightly ,Bass 
attempt,Leo Tolstoy,aggressive,bagpipes ,chin,Burkina,briskly ,Basset Hound 
attend,Pablo Picasso,agile,baits ,cranium,Burundi,broadly ,Bat 
attract,Vincent Van Gogh,agitated,bakeries ,cuticle,Cambodia,busily  ,Bearded Dragon 
avoid,Franklin D. Roosevelt,agonizing,balls ,epidermis,Cameroon,calmly ,Beaver 
back,Pope John Paul II,agreeable,balloons ,skin,Canada,carefully ,Bee 
bake,Thomas Edison,ajar,bamboos ,ear,Cape Verde,carelessly ,Beetle 
balance,Rosa Parks,alarmed,bananas ,eardrum,Central African Rep,cautiously ,Beluga Whale 
ban,Aung San Suu Kyi,alarming,bands ,elbow,Chad,certainly,Bird 
bang,Lyndon Johnson,alert,bandanas ,esophagus,Chile,cheerfully ,Big-horned sheep 
bare,Ludwig Beethoven,alienated,bangles ,eye,China,clearly ,Bird of paradise 
bat,Oprah Winfrey,alive,banjos ,eyebrow,Colombia,cleverly,Bison 
bathe,Indira Gandhi,all,banks ,eyelash,Comoros,closely ,Billy goat 
battle,Eva Peron,altruistic,baseballs ,eyelid,Congo,coaxingly ,Black Bear 
beam,Benazir Bhutto,amazing,baskets ,face,Congo {Democratic Rep},colorfully ,Black Fly 
beg,Desmond Tutu,ambitious,basketballs ,finger,Costa Rica,commonly,Black Rhino 
behave,Dalai Lama,ample,bats ,fingernail,Croatia,continually ,Black Footed Rhino 
belong,Walt Disney,amused,baths ,fist,Cuba,coolly ,Black Widow Spider 
bleach,Neil Armstrong,amusing,bathrooms ,foot,Cyprus,correctly ,Blackbird 
bless,Peter Sellers,anchored,bathtubs ,forearm,Czech Republic,courageously ,Blowfish 
blind,Barack Obama,ancient,batteries ,forehead,Denmark,crossly ,Blue Jay 
blink,Malcolm X,angelic,battles ,foreskin,Djibouti,cruelly ,Blue Whale 
blot,J.K.Rowling,angry,bays ,gall bladder,Dominica,curiously,Boa 
blush,Richard Branson,anguished,beaches ,gland,Dominican Republic,daily ,Boar 
boast,Pele,animated,beads ,groin,East Timor,daintily,Bob-Cat 
boil,Angelina Jolie,annual,beans ,gum,Ecuador,dearly ,Bonobo 
bolt,Jesse Owens,another,bears ,hair,Egypt,deceivingly ,Bottle-Nose dolphin 
bomb,Ernest Hemingway,antique,beards ,hairdo,El Salvador,delightfully,Bornean Orang-utan 
book,John Lennon,anxious,beasts ,hand,Equatorial Guinea,deeply ,Boxer dog 
bore,Henry Ford,any,beats ,head,Eritrea,defiantly ,Brown Bear 
borrow,Haile Selassie,apprehensive,beauties ,heart,Estonia,deliberately ,Buck 
bounce,Joseph Stalin,appropriate,beavers ,heel,Ethiopia,delightfully ,Budgie 
bow,Lord Baden Powell,apt,beds ,hip,Fiji,diligently ,Buffalo 
box,Michael Jordon,arctic,bedrooms ,intestine,Finland,dimly,Bull 
brake,George Bush jnr,arid,bees ,jaw,France,doubtfully ,Bull frog 
branch,V.Lenin,aromatic,beefs ,kidney,Gabon,dreamily ,Bull Mastiff 
breathe,Ingrid Bergman,artistic,beetles ,knee,Gambia,easily ,Butterfly 
bruise,Fidel Castro,ashamed,bells ,kneecap,Georgia,elegantly ,Buzzard 
brush,Oscar Wilde,assured,belts ,knuckle,Germany,energetically ,Border Collie
bubble,Coco Chanel,astonishing,benches ,leg,Ghana,enormously ,Caribou 
bump,Pope Francis,athletic,berets ,ligament,Greece,enthusiastically ,Cheetah 
burn,Amelia Earhart,attached,berries ,lip,Grenada,equally ,Common Dolphin 
bury,Adolf Hitler,attentive,bicycles ,liver,Guatemala,especially,Common seal 
buzz,Sting,attractive,bikes ,lung,Guinea,even ,Caiman lizard 
calculate,Mary Magdalene,austere,birds ,mandible,Guinea-Bissau,evenly ,Camel 
call,Alfred Hitchcock,authentic,birthdays ,moustache,Guyana,eventually ,Canary 
camp,Michael Jackson,authorized,bites ,mouth,Haiti,exactly ,Carp 
care,Madonna,automatic,blacks ,muscle,Honduras,excitedly ,Cat 
carry,Mata Hari,avaricious,blades ,neck,Hungary,extremely  ,Caterpillar 
carve,Cleopatra,average,blankets ,neckline,Iceland,fairly ,Cattle 
cause,Grace Kelly,aware,blocks ,nerve,India,faithfully ,Catfish 
challenge,Steve Jobs,awesome,bloods ,nipple,Indonesia,famously ,Chameleon 
change,Ronald Reagan,awful,blouses ,nose,Iran,far ,Centipede 
charge,Lionel Messi,awkward,blows ,nostril,Iraq,fast ,Chicken 
chase,Babe Ruth,babyish,boards ,organ,Ireland {Republic},fatally ,Chimpanzee 
cheat,Bob Geldof,bad,boats ,palate,Israel,ferociously ,Chihuahua 
check,Leon Trotsky,back,bobcats ,palm,Italy,fervently ,Chinchilla 
cheer,Roger Federer,baggy,bodies ,pancreas,Ivory Coast,fiercely ,Chipmunk 
chew,Sigmund Freud,bare,bolts ,penis,Jamaica,fondly ,Clam 
choke,Woodrow Wilson,barren,bones ,prostate,Japan,foolishly ,Chupacabra 
chop,Mao Zedong,basic,bonsais ,pubis,Jordan,fortunately ,Clown Fish 
claim,Katherine Hepburn,beautiful,books ,rectum,Kazakhstan,frankly ,Cobra 
clap,Audrey Hepburn,belated,bookcases ,rib,Kenya,frantically,Cocker Spaniel 
clean,David Beckham,beloved,booklets ,scalp,Kiribati,freely,Cockatiel 
clear,Tiger Woods,beneficial,boots ,scrotum,Korea North,frenetically ,Cockatoo 
clip,Usain Bolt,better,borders ,shin,Korea South,frightfully,Cockroach 
close,Carl Lewis,best,bottles ,shoulder,Kosovo,fully,Cod 
coach,Prince Charles,bewitched,bottoms ,shoulder blade,Kuwait,furiously ,Coho 
coil,Jacqueline Kennedy Onassis,big,boundaries ,sinus,Kyrgyzstan,generally,Corn Snake 
collect,C.S. Lewis,big-hearted,bows ,skeleton,Laos,generously,Cougar 
colour,Billie Holiday,biodegradable,bowlings ,skin,Latvia,gently,Cow 
comb,J.R.R. Tolkien,bite-sized,boxes ,skull,Lebanon,gladly ,Coyote 
command,Tom Cruise,bitter,boys ,sole,Lesotho,gleefully ,Crab 
communicate,Billie Jean King,black,brains ,spine,Liberia,gracefully ,Crane 
compare,Anne Frank,black-and-white,brakes ,spleen,Libya,gratefully,Crawfish 
compete,Simon Bolivar,bland,branches ,sternum,Liechtenstein,greatly ,Cray fish 
complain,Marie Antoinette,blank,brasses ,stomach,Lithuania,greedily,Cricket 
complete,Christiano Ronaldo,blaring,breads ,temple,Luxembourg,happily ,Crocodile 
concentrate,Emmeline Pankhurst ,bleak,breaks ,tendon,Macedonia,hastily ,Crow 
concern,Emile Zatopek,blind,breakfasts ,testicle,Madagascar,healthily ,Cuckoo bird 
confess,Lech Walesa,blissful,breaths ,thigh,Malawi,heavily ,Cuttle fish 
confuse,Julie Andrews,blond,bricks ,thorax,Malaysia,helpfully ,Deer 
connect,Florence Nightingale,blue,bridges ,throat,Maldives,helplessly ,Dog 
consider,Marie Curie,blushing,broccolis ,thumb,Mali,highly ,Du-gong 
consist,Stephen Hawking,bogus,brochures ,thyroid,Malta,honestly ,Dalmation 
contain,Tim Berners Lee,boiling,brothers ,toe,Marshall Islands,hopelessly ,Dacshund 
continue,Lance Armstrong,bold,brushes ,toenail,Mauritania,hourly ,Damsel fly 
copy,Shakira,bony,bubbles ,tongue,Mauritius,hungrily        ,Dart Frog 
correct,Jon Stewart,boring,buckets ,tonsil,Mexico,immediately ,Devi Fish (Giant Sting ray) 
cough,Wright Brothers,bossy,buildings ,tooth,Micronesia,innocently ,Diamond back rattler 
count,Roman Abramovich,both,bulbs ,umbilical cord,Moldova,inquisitively ,Dik-dik 
cover,Rupert Murdoch,bouncy,bulls ,uterus,Monaco,instantly ,Dingo 
crack,Al Gore,bountiful,bulldozers ,urethra,Mongolia,intensely ,Dinosaur 
crash,Sacha Baron Cohen,bowed,bumpers ,uvula,Montenegro,intently ,Doberman Pinscher 
crawl,George Clooney,brave,buns ,vagina,Morocco,interestingly ,Dodo bird 
cross,Paul Krugman,breakable,buss ,vein,Mozambique,inwardly ,Dolphin 
crush,Jimmy Wales,brief,bushes ,vena,"Myanmar, {Burma}",irritably       ,Dolly Varden 
cry,Brad Pitt,bright,butters ,waist,Namibia,jaggedly,Donkey 
cure,Kylie Minogue,brilliant,buttons ,windpipe,Nauru,jealously,Door mouse 
curl,Malala Yousafzai,brisk,cabbages ,trachea,Nepal,joshingly,Dormouse 
curve,Stephen King,broken,cacti ,wrist,Netherlands,joyfully,Draft horse 
cycle,BTS,bronze,cafes ,,New Zealand,joyously ,Dove 
dam,Selena Gomez,brown,cakes ,,Nicaragua,jovially,Dragonfly 
damage,Kylie Jenner,bruised,calculators ,,Niger,jubilantly,Drake 
dance,Kanye West,bubbly,calendars ,,Nigeria,judgmentally,Duck 
dare,Cristiano Ronaldo,bulky,calves ,,Norway,justly,Duckbill Platypus 
decay,Ellen DeGeneres,bumpy,calls ,,Oman,keenly,Dung beetle 
deceive,Ariana Grande,buoyant,camels ,,Pakistan,kiddingly,Eurasian Lynx 
decide,Gordon Ramsay,burdensome,cameras ,,Palau,kindheartedly,Eagle 
decorate,Ed Sheeran,burly,camps ,,Panama,kindly,Earthworm 
delay,Billie Eilish,bustling,candles ,,Papua New Guinea,knavishly,Earwig 
delight,Simon Cowell,busy,canoes ,,Paraguay,knottily,Echidna 
deliver,Drake,buttery,canvass ,,Peru,knowingly,Eclectus 
depend,Howard Stern,buzzing,caps ,,Philippines,knowledgeably,Eel 
describe,Kim Kardashian,calculating,captains ,,Poland,kookily ,Egret 
desert,Stephen Curry,calm,cars ,,Portugal,lazily ,Elephant 
deserve,Taylor Swift,candid,cards ,,Qatar,less ,Elephant Seal 
destroy,Shawn Mendes,canine,cardboards ,,Romania,lightly ,Elk 
detect,Camila Cabello,capital,cardigans ,,Russian Federation,likely ,Emu 
develop,Scarlett Johansson,carefree,carpenters ,,Rwanda,limply,Erne 
disagree,Emma Stone,careful,carrots ,,St Kitts & Nevis,lively,Falcon 
disappear,Anne Hathaway,careless,cartoons ,,St Lucia,loftily,Finch 
disapprove,Mila Kunis,caring,cats ,,Saint Vincent & the Grenadines,longingly ,Fish 
disarm,Natalie Portman,cautious,caterpillars ,,Samoa,loosely,Firefly 
discover,Megan Fox,cavernous,cathedrals ,,San Marino,lovingly ,Flamingo 
dislike,Jessica Alba,celebrated,castles ,,Sao Tome & Principe,loudly ,Flatworm 
divide,Jennifer Aniston,charming,cauliflowers ,,Saudi Arabia,loyally,Fly 
double,Emma Watson,cheap,caves ,,Senegal,madly ,Ferret 
doubt,Jennifer Lawrence,cheerful,CDs ,,Serbia,majestically ,Fox 
drag,Beyonce,cheery,ceilings ,,Seychelles,meaningfully ,Fresh Water Crocodile
drain,Emily Blunt,chief,celeries ,,Sierra Leone,mechanically ,Frog 
dream,Rihanna,chilly,cellos ,,Singapore,merrily ,Galapagos Land Iguana 
dress,Adele,chubby,cements ,,Slovakia,miserably ,Galapagos Tortoise 
drip,Madonna,circular,cemeteries ,,Slovenia,mockingly ,Gazelle 
drop,Lady Gaga,classic,cereals ,,Solomon Islands,monthly ,Giant Anteater 
drown,Katy Perry,clean,chains ,,Somalia,more ,Giant panda 
drum,Bruno Mars,clear,chairs ,,South Africa,mortally ,Giraffe 
dry,Harry Styles,clear-cut,chalks ,,South Sudan,mostly ,Gnat 
dust,Adam Levine,clever,channels ,,Spain,mysteriously    ,Goat 
earn,John Legend,close,characters ,,Sri Lanka,naturally ,Goose 
educate,Justin Bieber,closed,cheeks ,,Sudan,nearly ,Gopher 
embarrass,,cloudy,cheeses ,,Suriname,neatly,Gorilla 
employ,,clueless,cheetahs ,,Swaziland,needily ,Grasshopper 
empty,,clumsy,cherries ,,Sweden,nervously ,Green fly 
encourage,,cluttered,chests ,,Switzerland,never ,Grey Whale 
end,,coarse,chests ,,Syria,nicely,Great White Shark 
enjoy,,cold,chicks ,,Taiwan,noisily ,Green poison dart frog 
enter,,colorful,chickens ,,Tajikistan,not     ,Green Sea Turtle 
entertain,,colorless,children ,,Tanzania,obediently ,Groundhog 
escape,,colossal,chimpanzees ,,Thailand,obnoxiously ,Hammerhead shark 
examine,,comfortable,chins ,,Togo,oddly,Hare 
excite,,common,chives ,,Tonga,offensively,Hawk 
excuse,,compassionate,chocolates ,,Trinidad & Tobago,officially,Hedgehog 
exercise,,competent,churches ,,Tunisia,often ,Heron 
exist,,complete,cicadas ,,Turkey,only ,Herring 
expand,,complex,cinemas ,,Turkmenistan,openly ,Hippopotamus 
expect,,complicated,circles ,,Tuvalu,optimistically,Horse 
explain,,composed,cities ,,Uganda,overconfidently,Hyena 
explode,,concerned,clams ,,Ukraine,owlishly,Hyrax 
extend,,concrete,clarinets ,,United Arab Emirates,painfully ,Irrawaddy Dolphin 
face,,confused,clicks ,,United Kingdom,partially ,Iguana 
fade,,conscious,clocks ,,United States,patiently ,Iguanodon 
fail,,considerate,closes ,,Uruguay,perfectly ,Impala 
fancy,,constant,closets ,,Uzbekistan,physically ,Inchworm 
fasten,,content,cloths ,,Vanuatu,playfully ,Insect 
fax,,conventional,clouds  ,,Vatican City,politely ,Jellyfish 
fear,,cooked,coaches ,,Venezuela,poorly ,Jackal 
fence,,cool,coals ,,Vietnam,positively,Jackrabbit 
fetch,,cooperative,coasts ,,Yemen,potentially,Jaguar 
file,,coordinated,coats ,,Zambia,powerfully ,June bug 
fill,,corny,cobwebs ,,Zimbabwe,promptly ,Kangaroo 
film,,corrupt,cockroaches ,,,properly,Killer Whale 
fire,,costly,cocoas ,,,punctually,King Cobra 
fit,,courageous,coffees ,,,quaintly,Kingfisher
fix,,courteous,coils ,,,quarrelsomely,Koala 
flap,,crafty,coins ,,,queasily,Komodo Dragon 
flash,,crazy,cokes ,,,queerly,Kookaburra 
float,,creamy,colds ,,,questionably,Krill 
flood,,creative,collars ,,,questioningly,Lama 
flow,,creepy,colleges ,,,quicker,Lamb 
flower,,criminal,colts ,,,quickly,Lancelet 
fold,,crisp,combs ,,,quietly,Leatherback sea turtle 
follow,,critical,comics ,,,quirkily,Leech 
fool,,crooked,commas ,,,quizzically,Lemming 
force,,crowded,computers ,,,rapidly ,Lemur 
form,,cruel,copies ,,,rarely ,Leopard 
found,,crushing,corns ,,,readily,Lice 
frame,,cuddly,costs ,,,really ,Lion 
frighten,,cultivated,cottons ,,,reassuringly,Lionfish 
fry,,cultured,couches ,,,recklessly ,Llama 
gather,,cumbersome,cougars ,,,regularly ,Lobster 
gaze,,curly,countries ,,,reluctantly,Lynx 
glow,,curvy,courses ,,,repeatedly ,Manatee 
glue,,cute,courts ,,,reproachfully,Man-Of-War 
grab,,cylindrical,cousins ,,,restfully,Mantis
grate,,damaged,cows ,,,righteously,Marmot 
grease,,damp,crabs ,,,rightfully,Marsupials 
greet,,dangerous,cracks ,,,rigidly ,Meerkat 
grin,,dapper,crackers ,,,roughly ,Mink 
grip,,daring,crates ,,,rudely ,Mole 
groan,,darling,crayfishes ,,,sadly ,Mollusks 
guarantee,,dark,crayons ,,,safely ,Monarch Butterfly 
guard,,dazzling,creams ,,,scarcely ,Mongoose 
guess,,dead,creeks ,,,scarily ,Monkey 
guide,,deadly,crickets ,,,searchingly ,Moose 
hammer,,deafening,crocodiles ,,,sedately ,Mountain Lion 
hand,,dear,crops ,,,seemingly ,Mouse 
handle,,dearest,crows ,,,seldom ,Mule 
hang,,decent,crowds ,,,selfishly ,Muskox 
happen,,decimal,crowns ,,,separately,Muskrat 
harass,,decisive,cucumbers ,,,seriously ,Naked Mole Rat 
harm,,deep,cups ,,,shakily ,Narwhal 
hate,,defenseless,cupboards ,,,sharply,Nautilus 
haunt,,defensive,curtains ,,,sheepishly ,Newt  
head,,defiant,curves ,,,shrilly ,Ocelot 
heal,,deficient,cushions ,,,shyly ,Octopus 
heap,,definite,cyclones ,,,silently ,Opossum 
heat,,definitive,dads ,,,sleepily ,Orangutan 
help,,delayed,daffodils ,,,slowly ,Orca 
hook,,delectable,daisies ,,,smoothly ,Osprey 
hop,,delicious,dances ,,,softly,Ostrich 
hope,,delightful,daughters ,,,solemnly ,Otter 
hover,,delirious,days ,,,solidly,Owl 
hug,,demanding,deeds ,,,sometimes ,Ox 
hum,,dense,denims ,,,soon ,Panda 
hunt,,dental,dentists ,,,speedily ,Panther
hurry,,dependable,deserts ,,,stealthily ,Peacock
identify,,dependent,desks ,,,sternly ,Pelican 
ignore,,descriptive,desserts ,,,strictly,Penguin 
imagine,,deserted,detectives ,,,successfully,Pig 
impress,,detailed,dews ,,,suddenly ,Pigeon
improve,,determined,diamonds ,,,surprisingly,Platypus
include,,devoted,dictionaries ,,,suspiciously,Polar Bear
increase,,different,dinghies ,,,sweetly ,Porcupine
influence,,difficult,dinosaurs ,,,swiftly ,Praying Mantis
inform,,digital,diets ,,,sympathetically,Prawn
inject,,diligent,dishes ,,,tenderly,Puma
injure,,dim,dogs ,,,tensely ,Quail 
instruct,,dimpled,dolls ,,,terribly,Quetzal 
intend,,dimwitted,dollars ,,,thankfully,Rabbit
interest,,direct,doors ,,,thoroughly,Raccoon
interfere,,disastrous,dragons ,,,thoughtfully,Rat 
interrupt,,discrete,dragonflies ,,,tightly,Ray 
introduce,,disfigured,drains ,,,tomorrow ,Reindeer 
invent,,disgusting,drawers ,,,too ,Rhino
invite,,disloyal,dreams ,,,tremendously,Ringworm
irritate,,dismal,dresses ,,,triumphantly,Rhinoceros
itch,,distant,dressers ,,,truly,Robin
jail,,downright,drills ,,,truthfully,Rooster
jam,,dreary,drinks ,,,ultimately,Roundworm
jog,,dirty,drums ,,,unabashedly,Salmon
join,,disguised,dryers ,,,unaccountably,Salt water alligator
joke,,dishonest,ducks ,,,unbearably,Sandpiper
judge,,dismal,ducklings ,,,unethically,Seahorse
juggle,,distant,dungeons ,,,unexpectedly ,Seal
jump,,distinct,dusts ,,,unfortunately,Sea anemone
kick,,distorted,eagles ,,,unimpressively,Sea Lion
kill,,dizzy,ears ,,,unnaturally,Sea urchin
kiss,,dopey,earths ,,,unnecessarily,Scallop
kneel,,doting,earthquakes ,,,utterly,Scorpion
knit,,double,eels ,,,upbeat,Shark
knock,,downright,eggs ,,,upliftingly,Sheep
knot,,drab,eggplants ,,,upright,Shrimp
label,,drafty,elbows ,,,upside-down,Siberian Husky 
land,,dramatic,elephants ,,,upward,Siberian Tiger
last,,dreary,energies ,,,upwardly,Skunks 
laugh,,droopy,engines ,,,urgently,Slender Loris
launch,,dry,equipment ,,,usefully,Sloth
learn,,dual,evenings ,,,uselessly,Sloth bear
level,,dull,eyes ,,,usually,Slugs 
license,,dutiful,eyebrows ,,,utterly,Snails 
lick,,each,faces ,,,vacantly,Snake 
lie,,eager,facts ,,,vaguely,Snow Hare 
